participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,rt,trial_type,block_n,trial_n,category_choice
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,3.621447600016836,standard,1,1,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,2.489814699976705,standard,1,2,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,2.2517099999822676,standard,1,3,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,1.212764700001571,standard,1,4,B
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,f,1.0504995000083,switch,1,5,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,2.5184865000192076,standard,1,6,B
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,0.9346410999423824,standard,1,7,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,0.7674722999799997,switch,1,8,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,0.5579218999482691,standard,1,9,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,0.5500466999947093,switch,1,10,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,1.3741487999795936,standard,1,11,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,0.635985900007654,standard,1,12,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,1.0808332999586128,standard,1,13,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,0.970792399952188,standard,1,14,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,0.5212200999958441,switch,1,15,A
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,0.7065544000361115,standard,1,16,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,2.2359427000046708,standard,1,17,B
