participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,rt,trial_type,block_n,trial_n,category_choice
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,6.819286300044041,standard,1,1,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,5.483218000037596,switch,1,2,B
10,18,switch/standard,j,f,B,33,85,26.821232143487904,6.976824754974014,j,4.147104100033175,standard,1,3,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,9.12868880003225,switch,1,4,B
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,10.47459560004063,standard,1,5,A
10,20,switch/standard,j,f,A,33,140,26.14711175410772,43.96860584938808,j,3.222189399995841,switch,1,6,A
10,22,switch/standard,j,f,B,40,57,41.88083319458841,-14.98800492,f,5.937666599988006,standard,1,7,B
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,6.686555199965369,standard,1,8,B
10,21,switch/standard,j,f,B,40,30,45.13982813678688,-35.30081098,f,5.411702800018247,switch,1,9,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,11.518620599992571,standard,1,10,B
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,3.878548600012437,switch,1,11,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,j,2.856973599991761,standard,1,12,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,f,3.2575841000070795,standard,1,13,B
10,23,switch/standard,j,f,B,40,85,38.21996555398914,5.057706707981728,j,2.2915932000032626,standard,1,14,A
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,2.517357200034894,standard,1,15,B
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.1165168000152337,standard,1,16,B
10,15,switch/standard,j,f,A,25,140,12.129448921922751,51.77476957,j,4.885929599986412,switch,1,17,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,4.669419399986509,standard,1,18,A
10,16,switch/standard,j,f,B,33,30,30.19684495481618,-38.42373928,f,4.158869999984745,switch,1,19,B
10,8,switch/standard,j,f,A,17,85,-8.995342757,8.387433417892344,j,3.5469148000120185,standard,1,20,A
10,2,switch/standard,j,f,A,10,57,-24.53495333,-12.0763604,f,4.1138353000278585,switch,1,21,B
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,f,5.6076768999919295,standard,1,22,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,1.4416145000141114,standard,1,23,B
10,9,switch/standard,j,f,A,17,113,-5.541832691,31.07890857909637,f,1.133752599998843,standard,1,24,B
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,j,1.1730914000072517,standard,1,25,A
10,12,switch/standard,j,f,B,25,57,9.177647168036223,-16.07892918,j,1.1003800999606028,standard,1,26,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,f,1.998032899980899,standard,1,27,B
10,7,switch/standard,j,f,Test,17,57,-6.953638003,-14.02238557,f,0.7789952000021003,standard,1,28,B
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,4.801773999992292,switch,1,29,A
10,10,switch/standard,j,f,A,17,140,-1.732665378,46.70107673091564,j,0.8365457000327297,standard,1,30,A
10,19,switch/standard,j,f,Test,33,113,26.34861461926153,27.630709460791525,j,1.7288129000226036,standard,1,31,A
10,11,switch/standard,j,f,B,25,30,13.264524555129096,-38.2203846,f,0.914035000023432,standard,1,32,B
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,3.615424099960365,switch,1,33,A
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,1.7795861000195146,standard,1,34,B
10,1,switch/standard,j,f,Test,10,30,-20.84275308,-36.88849953,f,0.6851986999972723,standard,1,35,B
10,5,switch/standard,j,f,A,10,140,-16.71390068,50.111230393533226,j,0.8551225999835879,standard,1,36,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,0.7057430000277236,standard,1,37,A
10,24,switch/standard,j,f,B,40,113,37.71162000489743,24.31290640287821,j,2.954538499994669,switch,1,38,A
10,13,switch/standard,j,f,Test,25,85,9.818056926810664,7.222251006984481,j,2.4706108999671414,standard,1,39,A
10,4,switch/standard,j,f,A,10,113,-23.83479794,30.479004461502832,j,2.5785900999908336,standard,1,40,A
10,25,switch/standard,j,f,Test,40,140,38.35549087886737,42.56620206713007,j,1.8798252000124192,standard,1,41,A
10,6,switch/standard,j,f,B,17,30,-3.854444584,-37.8392214,f,1.147115700005088,standard,1,42,B
