stim,category,angle_psy,radius_psy,angle,radius,area
2,A,-24.53495333,-12.0763604,10,57,6783.483937263761
3,A,-26.47077232,11.92758930596587,10,85,12681.998677303796
4,A,-23.83479794,30.479004461502832,10,113,20906.688244401877
5,A,-16.71390068,50.111230393533226,10,140,31040.68074671915
6,B,-3.854444584,-37.8392214,17,30,4618.141200776996
8,A,-8.995342757,8.387433417892344,17,85,13615.095328651263
9,A,-5.541832691,31.078908579096375,17,113,21501.121207692362
10,A,-1.732665378,46.70107673091564,17,140,31217.831665796573
11,B,13.264524555129096,-38.2203846,25,30,6126.105674500097
12,B,9.177647168036223,-16.07892918,25,57,9303.433944524473
14,A,8.045214428,27.52140038259675,25,113,22180.47316573864
15,A,12.129448921922751,51.77476957,25,140,31420.28985902792
16,B,30.19684495481618,-38.42373928,33,30,7634.070148223198
17,B,26.21866752665977,-14.79865055,33,57,10647.407281730188
18,B,26.821232143487904,6.976824754974014,33,85,15747.887674588335
20,A,26.147111754107716,43.96860584938808,33,140,31622.74805225926
21,B,45.13982813678688,-35.30081098,40,30,8953.53906273091
22,B,41.88083319458841,-14.98800492,40,57,11823.383951785187
23,B,38.21996555398914,5.057706707981728,40,85,16680.984325935802
24,B,37.711620004897426,24.312906402878212,40,113,23454.2580870754
