stim,category,angle_psy,radius_psy,angle,radius,trial_type
1,Test,-20.84275308,-36.88849953,10,30,standard
7,Test,-6.953638003,-14.02238557,17,57,standard
13,Test,9.818056926810664,7.222251006984481,25,85,standard
19,Test,26.34861461926153,27.630709460791525,33,113,standard
25,Test,38.35549087886737,42.56620206713007,40,140,standard
1,Test,-20.84275308,-36.88849953,10,30,standard
7,Test,-6.953638003,-14.02238557,17,57,standard
13,Test,9.818056926810664,7.222251006984481,25,85,standard
19,Test,26.34861461926153,27.630709460791525,33,113,standard
25,Test,38.35549087886737,42.56620206713007,40,140,standard
1,Test,-20.84275308,-36.88849953,10,30,standard
7,Test,-6.953638003,-14.02238557,17,57,standard
13,Test,9.818056926810664,7.222251006984481,25,85,standard
19,Test,26.34861461926153,27.630709460791525,33,113,standard
25,Test,38.35549087886737,42.56620206713007,40,140,standard
1,Test,-20.84275308,-36.88849953,10,30,standard
7,Test,-6.953638003,-14.02238557,17,57,standard
13,Test,9.818056926810664,7.222251006984481,25,85,standard
19,Test,26.34861461926153,27.630709460791525,33,113,standard
25,Test,38.35549087886737,42.56620206713007,40,140,standard
2,A,-24.53495333,-12.0763604,10,57,standard
3,A,-26.47077232,11.92758930596587,10,85,standard
4,A,-23.83479794,30.479004461502832,10,113,standard
5,A,-16.71390068,50.111230393533226,10,140,standard
6,B,-3.854444584,-37.8392214,17,30,standard
8,A,-8.995342757,8.387433417892344,17,85,standard
9,A,-5.541832691,31.078908579096375,17,113,standard
10,A,-1.732665378,46.70107673091564,17,140,standard
11,B,13.264524555129096,-38.2203846,25,30,standard
12,B,9.177647168036223,-16.07892918,25,57,standard
14,A,8.045214428,27.52140038259675,25,113,standard
15,A,12.129448921922751,51.77476957,25,140,standard
16,B,30.19684495481618,-38.42373928,33,30,standard
17,B,26.21866752665977,-14.79865055,33,57,standard
18,B,26.821232143487904,6.976824754974014,33,85,standard
20,A,26.147111754107716,43.96860584938808,33,140,standard
21,B,45.13982813678688,-35.30081098,40,30,standard
22,B,41.88083319458841,-14.98800492,40,57,standard
23,B,38.21996555398914,5.057706707981728,40,85,standard
24,B,37.711620004897426,24.312906402878212,40,113,standard
1,Test,-20.84275308,-36.88849953,10,30,switch
2,A,-24.53495333,-12.0763604,10,57,switch
5,A,-16.71390068,50.111230393533226,10,140,switch
6,B,-3.854444584,-37.8392214,17,30,switch
7,Test,-6.953638003,-14.02238557,17,57,switch
10,A,-1.732665378,46.70107673091564,17,140,switch
13,Test,9.818056926810664,7.222251006984481,25,85,switch
15,A,12.129448921922751,51.77476957,25,140,switch
16,B,30.19684495481618,-38.42373928,33,30,switch
17,B,26.21866752665977,-14.79865055,33,57,switch
19,Test,26.34861461926153,27.630709460791525,33,113,switch
20,A,26.147111754107716,43.96860584938808,33,140,switch
21,B,45.13982813678688,-35.30081098,40,30,switch
24,B,37.711620004897426,24.312906402878212,40,113,switch
25,Test,38.35549087886737,42.56620206713007,40,140,switch
