stim,angle_psy,radius_psy,category,angle,radius
1,-20.84275308,-36.88849953,Untrained,10,30
2,-24.53495333,-12.0763604,A,10,57
3,-26.47077232,11.92758930596587,A,10,85
4,-23.83479794,30.479004461502832,A,10,113
5,-16.71390068,50.111230393533226,A,10,140
6,-3.854444584,-37.8392214,B,17,30
7,-6.953638003,-14.02238557,Untrained,17,57
8,-8.995342757,8.387433417892344,A,17,85
9,-5.541832691,31.078908579096375,A,17,113
10,-1.732665378,46.70107673091564,A,17,140
11,13.264524555129096,-38.2203846,B,25,30
12,9.177647168036223,-16.07892918,B,25,57
13,9.818056926810664,7.222251006984481,Untrained,25,85
14,8.045214428,27.52140038259675,A,25,113
15,12.129448921922751,51.77476957,A,25,140
16,30.19684495481618,-38.42373928,B,33,30
17,26.21866752665977,-14.79865055,B,33,57
18,26.821232143487904,6.976824754974014,B,33,85
19,26.34861461926153,27.630709460791525,Untrained,33,113
20,26.147111754107716,43.96860584938808,A,33,140
21,45.13982813678688,-35.30081098,B,40,30
22,41.88083319458841,-14.98800492,B,40,57
23,38.21996555398914,5.057706707981728,B,40,85
24,37.711620004897426,24.312906402878212,B,40,113
25,38.35549087886737,42.56620206713007,Untrained,40,140
